blind,task,dof
010,language,6
012,language,BBR
014,language,BBR
020,language,7
021,language,7
022,language,6
023,language,BBR
025,language,6
027,language,6
028,language,6
029,language,6
031,language,6
033,language,BBR
035,language,BBR
036,language,6
038,language,6
039,language,BBR
041,language,BBR
044,language,BBR
046,language,BBR
049,language,6
052,language,6
053,language,BBR
055,language,BBR
056,language,BBR
058,language,BBR
062,language,6
065,language,6
066,language,6
067,language,6
070,language,BBR
074,language,BBR
076,language,6
079,language,BBR
010,motor,6
012,motor,BBR
014,motor,6
020,motor,BBR
021,motor,6
022,motor,6
023,motor,BBR
025,motor,6
027,motor,6
028,motor,6
029,motor,6
031,motor,BBR
033,motor,BBR
036,motor,6
039,motor,BBR
041,motor,BBR
044,motor,BBR
046,motor,BBR
052,motor,6
053,motor,BBR
056,motor,6
058,motor,BBR
062,motor,6
065,motor,6
066,motor,BBR
067,motor,6
070,motor,6
074,motor,BBR
076,motor,6
079,motor,BBR
