blind,task,sliceOrder
010,language,interleaved
012,language,interleaved
014,language,interleaved
020,language,interleaved
021,language,interleaved
022,language,interleaved
023,language,interleaved
025,language,interleaved
027,language,interleaved
028,language,default
029,language,default
031,language,default
033,language,default
035,language,default
036,language,default
038,language,default
039,language,default
041,language,default
044,language,default
046,language,default
049,language,default
052,language,ascending
053,language,ascending
055,language,ascending
056,language,ascending
058,language,ascending
062,language,ascending
065,language,ascending
066,language,ascending
067,language,ascending
070,language,ascending
074,language,ascending
076,language,ascending
079,language,ascending
010,motor,interleaved
012,motor,interleaved
014,motor,interleaved
020,motor,interleaved
021,motor,interleaved
022,motor,default
023,motor,interleaved
025,motor,interleaved
027,motor,default
028,motor,default
029,motor,default
031,motor,default
033,motor,default
036,motor,default
038,motor,default
039,motor,default
041,motor,default
044,motor,default
046,motor,default
052,motor,ascending
053,motor,ascending
056,motor,ascending
058,motor,ascending
062,motor,ascending
065,motor,ascending
066,motor,ascending
067,motor,ascending
070,motor,ascending
074,motor,ascending
076,motor,ascending
079,motor,ascending
010,rest,interleaved
012,rest,interleaved
014,rest,interleaved
020,rest,interleaved
021,rest,interleaved
022,rest,interleaved
023,rest,interleaved
025,rest,interleaved
027,rest,interleaved
028,rest,interleaved
029,rest,default
031,rest,default
033,rest,default
035,rest,default
036,rest,default
038,rest,default
039,rest,default
041,rest,default
044,rest,default
046,rest,default
049,rest,default
052,rest,ascending
053,rest,ascending
055,rest,ascending
056,rest,ascending
058,rest,ascending
062,rest,ascending
065,rest,ascending
066,rest,ascending
067,rest,ascending
070,rest,ascending
074,rest,ascending
076,rest,ascending
079,rest,ascending

